nome,cnpj,telefone,email,endereco
Distribuidora ABC Ltda,12.345.678/0001-99,(11) 4002-8922,contato@abcdistribuidora.com.br,Rua das Indústrias 123 - São Paulo/SP
Ferragens União S.A.,23.456.789/0001-88,(11) 3344-5566,vendas@ferragensuniao.com.br,Av. Central 456 - São Paulo/SP
Eletrocomp Distribuidora,34.567.890/0001-77,(21) 2233-4455,comercial@eletrocomp.com.br,Rua do Comércio 789 - Rio de Janeiro/RJ
Móveis & Cia,45.678.901/0001-66,(31) 3322-1100,contato@moveisecia.com.br,Av. Brasil 1010 - Belo Horizonte/MG
Papelaria Central,56.789.012/0001-55,(41) 3311-2200,vendas@papelariacentral.com.br,Rua XV de Novembro 200 - Curitiba/PR
Limpa Já Produtos de Limpeza,67.890.123/0001-44,(51) 3300-9988,contato@limpaja.com.br,Av. Independência 300 - Porto Alegre/RS
InfoParts Tecnologia,78.901.234/0001-33,(11) 4455-6677,suporte@infoparts.com.br,Rua da Tecnologia 400 - São Paulo/SP
Ferramentas Rio Grande,89.012.345/0001-22,(51) 3222-1199,vendas@ferramentasrg.com.br,Av. Farrapos 500 - Porto Alegre/RS
Luz Total Iluminação,90.123.456/0001-11,(19) 3244-5588,contato@luztotal.com.br,Rua da Luz 600 - Campinas/SP
Embalagens Nordeste,01.234.567/0001-00,(81) 3366-7799,vendas@embalagensne.com.br,Av. Boa Viagem 700 - Recife/PE
